trade_id	insider_name	symbol	txn_code	transaction_date	txn_price	shares	price+7day	PnL
3896	Belsky Scott	ADBE	S	2024-10-15	513.82	-1530	493.11	31686.3
3901	Belsky Scott	ADBE	S	2024-10-16	506.39	-703	485.03	15016.08
4115	Young Christopher David	MSFT	S	2024-11-12	423.6584	-7200	417.79	42252.48
4117	Numoto Takeshi	MSFT	S	2024-11-22	414.72	-1000	423.46	-8740.0
4118	Althoff Judson	MSFT	S	2024-11-22	417.0	-25000	423.46	-161500.0
4119	Numoto Takeshi	MSFT	S	2024-11-27	423.48	-1000	437.42	-13940.0
4121	Numoto Takeshi	MSFT	S	2024-12-02	430.873	-2500	446.02	-37867.5
4124	Numoto Takeshi	MSFT	S	2024-12-04	437.317	-2000	448.99	-23346.0
4126	Numoto Takeshi	MSFT	S	2024-12-09	447.412	-2500	451.59	-10445.0
4343	Pichai Sundar	GOOGL	S	2024-09-18	160.9382	-9853	161.49	-5436.89
4345	HENNESSY JOHN L	GOOGL	S	2024-09-23	165.0	-700	165.85	-595.0
4383	WALKER JOHN KENT	GOOGL	S	2024-09-27	165.474	-16802	167.06	-26647.97
4777	Zuckerberg Mark	META	S	2024-10-30	600.1739	-420	572.05	11812.04
4782	Olivan Javier	META	S	2024-11-01	567.58	-413	589.34	-8986.88
4783	Newstead Jennifer	META	S	2024-11-05	567.7	-901	584.82	-15425.12
4791	Bosworth Andrew	META	S	2024-11-15	577.16	-5057	559.14	91127.14
4807	LI SUSAN J	META	S	2024-11-15	577.16	-4203	559.14	75738.06
4826	Clegg Nicholas	META	S	2024-11-15	577.16	-1131	559.14	20380.62
4840	Olivan Javier	META	S	2024-11-15	577.16	-4891	559.14	88135.82
5007	Thygesen Allan C.	DOCU	S	2024-10-01	63.09	-200	66.89	-760.0
5010	Shaughnessy James P	DOCU	S	2024-10-09	68.17	-4285	72.6	-18982.55
5012	GRAYSON BLAKE JEFFREY	DOCU	S	2024-10-15	68.81	-1552	70.68	-2902.24
5014	Thygesen Allan C.	DOCU	S	2024-11-01	69.95	-7764	79.38	-73214.52
5033	Thygesen Allan C.	DOCU	S	2024-12-02	81.73	-100	102.26	-2053.0
5039	Springer Daniel D.	DOCU	S	2024-12-10	100.66	-58392	98.17	145396.08
5156	Viggiano Aidan	TWLO	S	2025-02-21	117.45	-2500	119.93	-6200.0
5169	Viggiano Aidan	TWLO	S	2025-03-31	96.6284	-3133	83.71	40473.35
5172	Shipchandler Khozema	TWLO	S	2025-03-31	96.602	-5647	83.71	72801.12
5305	Steckelberg Kelly	ZM	S	2024-09-04	69.115	-200	67.3	363.0
5308	Bawa Aparna	ZM	S	2024-09-05	68.09	-880	66.55	1355.2
5309	Yuan Eric S.	ZM	S	2024-09-05	68.4648	-457	66.55	875.06
